trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,3,-93.21613041652864,"{0: 12, 1: 0, 2: 9, 3: 1, 4: 0}",1
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-174.40714906583773,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-69.00299992367476,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-46.13405499198237,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-123.36966152426297,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-99.5740114133147,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-152.27500046291954,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",30,0,-178.29711938449196,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",25,15,-54.352407403293036,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 1}",1
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-167.03499569771813,"{0: 8, 1: 1, 2: 7, 3: 3, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",25,0,-58.625695477163426,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,4.7823592854712595,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,0,-194.66150654604098,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-38.952727372415644,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",25,0,-60.723139411966926,"{0: 17, 1: 6, 2: 1, 3: 0, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,0,-154.69536783205064,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",25,0,-117.4490970592038,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,0,-166.06980445593786,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",25,0,-65.87379643205728,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",30,0,-166.7008799700533,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-61.72642163463142,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,0,-99.20825827668688,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-40.68048727434326,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-19.2360844371942,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",25,0,-99.62555716600176,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,0,-77.35839379683988,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",25,0,-144.86528629741449,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",1
47,False,"{'a': 0.01, 'e': 0.891568288195329}",20,0,-115.90477992869586,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-100.14004558834782,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",30,0,-116.17700252889883,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
